2026-09-08 12:46:07,239 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21626&page_caps=&user_role=
2026-09-08 12:46:07,941 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21626
2026-09-08 12:48:57,304 | INFO | system=redmine event=login_check url=https://rm.oblteh.ru/redmine/login?back_url=http%3A%2F%2Frm.oblteh.ru%2Fredmine%2Fprojects%2Fmehr%2Fissues%2Fnew
2026-09-08 12:48:57,327 | INFO | system=redmine event=login_submit url=https://rm.oblteh.ru/redmine/login?back_url=http%3A%2F%2Frm.oblteh.ru%2Fredmine%2Fprojects%2Fmehr%2Fissues%2Fnew
2026-09-08 12:48:57,715 | INFO | system=redmine event=login_success url=https://rm.oblteh.ru/redmine/projects/mehr/issues/new
2026-09-08 13:47:22,057 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:47:22,197 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:47:23,027 | INFO | system=source_jira event=login_success url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:47:32,181 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:47:32,307 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:47:32,861 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21581
2026-09-08 13:48:39,619 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:48:39,767 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:48:40,408 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21581
2026-09-08 13:49:31,704 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:49:31,888 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:49:32,682 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21581
2026-09-08 13:49:53,858 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:49:54,722 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:49:55,304 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21581
2026-09-08 13:50:46,222 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:50:46,350 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21581&page_caps=&user_role=
2026-09-08 13:50:46,933 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21581
2026-09-08 13:54:45,761 | INFO | system=redmine event=login_check url=https://rm.oblteh.ru/redmine/login?back_url=http%3A%2F%2Frm.oblteh.ru%2Fredmine%2Fprojects%2Fmehr%2Fissues%2Fnew
2026-09-08 13:54:45,788 | INFO | system=redmine event=login_submit url=https://rm.oblteh.ru/redmine/login?back_url=http%3A%2F%2Frm.oblteh.ru%2Fredmine%2Fprojects%2Fmehr%2Fissues%2Fnew
2026-09-08 13:54:46,078 | INFO | system=redmine event=login_success url=https://rm.oblteh.ru/redmine/projects/mehr/issues/new
2026-09-08 13:59:00,917 | INFO | system=redmine event=login_check url=https://rm.oblteh.ru/redmine/login?back_url=http%3A%2F%2Frm.oblteh.ru%2Fredmine%2Fprojects%2Fmehr%2Fissues%2Fnew
2026-09-08 13:59:00,945 | INFO | system=redmine event=login_submit url=https://rm.oblteh.ru/redmine/login?back_url=http%3A%2F%2Frm.oblteh.ru%2Fredmine%2Fprojects%2Fmehr%2Fissues%2Fnew
2026-09-08 13:59:01,245 | INFO | system=redmine event=login_success url=https://rm.oblteh.ru/redmine/projects/mehr/issues/new
2026-09-08 14:00:59,675 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:00:59,821 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:01:00,535 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-08 14:02:34,140 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:02:34,288 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:02:35,045 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-08 14:03:07,971 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:03:08,116 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:03:08,769 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
2026-09-08 14:05:34,762 | INFO | system=source_jira event=login_check url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:05:34,896 | INFO | system=source_jira event=login_submit url=https://jira.mos.social/login.jsp?permissionViolation=true&os_destination=%2Fbrowse%2FKISEMIAS2019-21469&page_caps=&user_role=
2026-09-08 14:05:35,513 | INFO | system=source_jira event=login_success url=https://jira.mos.social/browse/KISEMIAS2019-21469
